MasterID,ItemID,Yield,Replenishable,Remaining,WHLocation,Plant,StartingFT,Core,CRCITEMID,Complete,PO_Num,Date_Received,Date_Receiveing,LastInventoryCycle,LastInventoryRemaining,LastInventoryComplete,OLD_PO
"BOND 28# WHT 9 1/2                                ","000000000208           ",61," ",48,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 09:01:05.000,2023-01-20 05:56:27.000,48,0,NULL
"BOND 24# WHT 14 5/8                               ","000000000289           ",89," ",128,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 09:00:32.000,2023-01-20 05:56:27.000,128,0,NULL
"24# CK SEC PLATINUM 9-1/2                         ","000000000313           ",85," ",94,"          ","1 ",0,0,"00000000    ",0,"1-066225  ",2023-01-13 15:00:00.000,2023-01-23 08:58:18.000,2023-01-20 05:56:27.000,94,0,NULL
"CFB 14.0# CAN 15 1/2                              ","000000000348           ",70," ",70,"          ","2 ",0,0,"00000000    ",0,"2-065538  ",2022-08-22 09:47:55.000,2023-01-02 16:09:46.000,2023-01-02 06:13:28.000,70,0,NULL
"CFB 14.0# CAN 15 1/2                              ","000000000361           ",246," ",246,"          ","2 ",0,0,"00000000    ",0,"2-065538  ",2022-08-22 09:44:42.000,2023-01-02 16:09:47.000,2023-01-02 06:13:28.000,246,0,NULL
"CFB 14.0# GRN 11 5/8                              ","000000000364           ",366," ",366,"          ","2 ",0,0,"00000000    ",0,"2-066175  ",2022-12-23 10:56:23.000,2023-01-02 16:10:03.000,2023-01-02 06:13:28.000,366,0,NULL
"CF 15# BLU 11 5/8                                 ","000000000378           ",379," ",379,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 08:56:07.000,2023-01-02 16:07:36.000,2023-01-02 06:13:28.000,379,0,NULL
"CF 15# GRN 9 7/8                                  ","000000000379           ",80," ",80,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 09:09:23.000,2023-01-02 16:08:28.000,2023-01-02 06:13:28.000,80,0,NULL
"CF 15# GRD 12 1/4                                 ","000000000380           ",308," ",308,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 09:03:44.000,2023-01-02 16:08:17.000,2023-01-02 06:13:28.000,308,0,NULL
"CB 26# WHT 9 1/2                                  ","000000000469           ",239," ",239,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 07:09:30.000,2023-01-02 16:07:24.000,2023-01-02 06:13:28.000,239,0,NULL
"TAG 125# WHT 12 1/2                               ","000000000496           ",340," ",370,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 09:01:21.000,2023-01-20 05:56:27.000,370,0,NULL
"CF 21# WHT XCELERATOR / E- CRBNLS 9 1/4           ","000000000498           ",159," ",159,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 07:05:47.000,2023-01-02 16:09:17.000,2023-01-02 06:13:28.000,159,0,NULL
"TAG 100# MAN 12 1/2                               ","000000000520           ",47," ",133,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 09:01:19.000,2023-01-20 05:56:27.000,133,0,NULL
"TAG 100# MAN 10                                   ","000000000522           ",215," ",215,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 09:01:18.000,2023-01-20 05:56:27.000,215,0,NULL
"CFB 14.0# PNK 17 1/2                              ","000000000534           ",0," ",112,"          ","2 ",0,0,"00000000    ",0,"          ",2023-01-02 16:10:22.000,2023-01-02 16:10:22.000,2023-01-02 06:13:28.000,112,0,NULL
"CFB 14.0# CAN 17 1/2                              ","000000000536           ",191," ",191,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 08:30:41.000,2023-01-02 16:09:49.000,2023-01-02 06:13:28.000,191,0,NULL
"CFB 14.0# PNK 17 1/2                              ","000000000539           ",543," ",543,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 11:41:16.000,2023-01-02 16:10:21.000,2023-01-02 06:13:28.000,543,0,NULL
"CFB 14.0# CAN 15 1/2                              ","000000000540           ",480," ",480,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:50:48.000,2023-01-02 16:09:46.000,2023-01-02 06:13:28.000,480,0,NULL
"CFB 14.0# WHT 15 1/2                              ","000000000547           ",93," ",86,"          ","1 ",0,0,"00000000    ",0,"1-066226  ",2023-01-13 15:00:00.000,2023-01-23 09:01:14.000,2023-01-20 05:56:27.000,86,0,NULL
"CF 15# GRD 15 1/2                                 ","000000000548           ",371," ",205,"          ","2 ",0,0,"00000000    ",0,"2-064519  ",2021-09-10 07:17:33.000,2023-01-02 16:08:18.000,2023-01-02 06:13:28.000,205,0,NULL
"CF 15# GRD 15 1/2                                 ","000000000549           ",412," ",412,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 07:16:42.000,2023-01-02 16:08:18.000,2023-01-02 06:13:28.000,412,0,NULL
"CFB 14.0# PNK 14 7/8                              ","000000000550           ",0," ",91,"          ","2 ",0,0,"00000000    ",0,"          ",2023-01-02 16:10:20.000,2023-01-02 16:10:20.000,2023-01-02 06:13:28.000,91,0,NULL
"CF 15# PNK 17 1/2                                 ","000000000556           ",612," ",612,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:52:21.000,2023-01-02 16:08:39.000,2023-01-02 06:13:28.000,612,0,NULL
"CF 15# PNK 17 1/2                                 ","000000000557           ",612," ",612,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:52:32.000,2023-01-02 16:08:39.000,2023-01-02 06:13:28.000,612,0,NULL
"CF 15# PNK 12 1/4                                 ","000000000560           ",367," ",367,"          ","2 ",0,0,"00000000    ",0,"2-065538  ",2022-08-22 09:46:04.000,2023-01-02 16:08:37.000,2023-01-02 06:13:28.000,367,0,NULL
"CF 15# PNK 12 1/4                                 ","000000000561           ",394," ",394,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:52:07.000,2023-01-02 16:08:37.000,2023-01-02 06:13:28.000,394,0,NULL
"CFB 14.0# BLU 15 1/2                              ","000000000571           ",186," ",186,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:54:49.000,2023-01-02 16:09:30.000,2023-01-02 06:13:28.000,186,0,NULL
"CFB 14.0# PNK 15 1/2                              ","000000000574           ",32," ",32,"          ","2 ",0,0,"00000000    ",0,"2-065538  ",2022-08-22 09:47:00.000,2023-01-02 16:10:21.000,2023-01-02 06:13:28.000,32,0,NULL
"CF 15# PNK 17 1/2                                 ","000000000575           ",86," ",86,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:49:23.000,2023-01-02 16:08:40.000,2023-01-02 06:13:28.000,86,0,NULL
"CFB 14.0# CAN 17 1/2                              ","000000000576           ",155," ",155,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:53:43.000,2023-01-02 16:09:49.000,2023-01-02 06:13:28.000,155,0,NULL
"CF 15# CAN 17 1/2                                 ","000000000577           ",119," ",119,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:49:45.000,2023-01-02 16:08:07.000,2023-01-02 06:13:28.000,119,0,NULL
"CFB 14.0# PNK 15 1/2                              ","000000000579           ",134," ",134,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 09:35:59.000,2023-01-02 16:10:21.000,2023-01-02 06:13:28.000,134,0,NULL
"CF 15# GRN 9 7/8                                  ","000000000590           ",300," ",300,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 08:57:17.000,2023-01-02 16:08:29.000,2023-01-02 06:13:28.000,300,0,NULL
"CF 15# BLU 9 1/2                                  ","000000000591           ",98," ",98,"          ","2 ",0,0,"00000000    ",0,"2-066165  ",2022-12-23 09:36:58.000,2023-01-02 16:07:40.000,2023-01-02 06:13:28.000,98,0,NULL
"CF 15# GRD 17 1/2                                 ","000000000615           ",43," ",43,"          ","2 ",0,0,"00000000    ",0,"2-065545  ",2022-08-22 09:54:10.000,2023-01-02 16:08:19.000,2023-01-02 06:13:28.000,43,0,NULL
"BOND 12# WHT 12 1/2                               ","000000000654           ",0," ",353,"          ","2 ",0,0,"00000000    ",0,"          ",2023-01-02 16:04:36.000,2023-01-02 16:04:36.000,2023-01-02 06:13:28.000,353,0,NULL
"BOND 15# GRD 12 1/2                               ","000000000656           ",178," ",206,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:50.000,2023-01-20 05:56:27.000,206,0,NULL
"BOND 15# BLU 10                                   ","000000000658           ",151," ",135,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:46.000,2023-01-20 05:56:27.000,135,0,NULL
"BOND 15# BLU 10                                   ","000000000660           ",339," ",339,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:47.000,2023-01-20 05:56:27.000,339,0,NULL
"BOND 15# WHT 10                                   ","000000000663           ",135," ",182,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:51.000,2023-01-20 05:56:27.000,182,0,NULL
"BOND 15# GRN 12 1/2                               ","000000000670           ",467," ",467,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:50.000,2023-01-20 05:56:27.000,467,0,NULL
"BOND 15# BLU 10                                   ","000000000673           ",351," ",343,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:47.000,2023-01-20 05:56:27.000,343,0,NULL
"BOND 15# BLU 10                                   ","000000000675           ",370," ",370,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:47.000,2023-01-20 05:56:27.000,370,0,NULL
"BOND 20# GRN 10                                   ","000000000677           ",125," ",170,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:56.000,2023-01-20 05:56:27.000,170,0,NULL
"BOND 15# BLU 17 1/2                               ","000000000681           ",386," ",106,"          ","2 ",0,0,"00000000    ",0,"2-063476  ",2020-06-09 10:01:12.000,2023-01-02 16:04:37.000,2023-01-02 06:13:28.000,106,0,NULL
"BOND 15# CAN 9 7/8                                ","000000000682           ",343," ",343,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:50.000,2023-01-20 05:56:27.000,343,0,NULL
"BOND 20# CAN 17 1/2                               ","000000000695           ",173," ",189,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:54.000,2023-01-20 05:56:27.000,189,0,NULL
"BOND 20# WHT 9 1/2                                ","000000000706           ",55," ",48,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 09:00:15.000,2023-01-20 05:56:27.000,48,0,NULL
"BOND 20# WHT 9 1/2                                ","000000000709           ",159," ",178,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 09:00:16.000,2023-01-20 05:56:27.000,178,0,NULL
"BOND 20# BUF 17 1/2                               ","000000000713           ",87," ",87,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:52.000,2023-01-20 05:56:27.000,87,0,NULL
"BOND 20# CAN 17 1/2                               ","000000000715           ",615," ",615,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:53.000,2023-01-20 05:56:27.000,615,0,NULL
"BOND 20# CAN 10                                   ","000000000721           ",58," ",58,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:53.000,2023-01-20 05:56:27.000,58,0,NULL
"BOND 20# CAN 12 1/2                               ","000000000724           ",115," ",115,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:53.000,2023-01-20 05:56:27.000,115,0,NULL
"BOND 20# GREY 17 1/2                              ","000000000730           ",123," ",191,"          ","1 ",0,0,"00000000    ",0,"1-066224  ",2023-01-13 15:00:00.000,2023-01-23 08:59:55.000,2023-01-20 05:56:27.000,191,0,NULL
