Description,CRCItemID,ERMaterials,LeadTime,PartsPerUnit,CostPerFactor,DLCostPerFactor,EstimatePerFactor,UseBy,OrderBY,PressFactor,CollatorFactor,OfflineFactor,ProdType,ItemType,ReportType,Color,Size,SubWT,ReOrderPoint,Cycle,PVGLCode,PRGLCode,ReqReport,Vendor_ItemID,Vendor_qty,DateLastPriceChange,LastPriceChangePO,Valueation,New_Item_Type,Old_Item_Type,BidID,CostingLink,Inventoryable
" DEFENSA BASIC WHT 12 1/4                         ","            ",T,1,1,1.8425,0.00,1.8425,"LB        ","LB        ",0,0,0,"ROLL  ",DFENSA,"CRBNLS    ","WHT ","12 1/4    ","26        ",-1," ","40100-2-30          ","40100-1-30          ",F,"            ",652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
" SECURE IJ 100# TEXT 17 1/2                       ","            ",F,1,1,0.85,0.00,0.85,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","ELEC      ","WHT ","17 1/2    ","100       ",-1," ","40200-1-30          ","40200-1-30          ",T,"            ",1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"100# MANILA TAG 17-1/2                            ","            ",T,1,1,0.72,0.00,0.72,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","MAN ","17 1/2    ","100       ",-1," ","40200-3-30          ","                    ",T,"            ",662,2013-06-12 09:25:51.367,"2-052354  ",NULL,NULL,NULL,NULL,NULL,1
"100# MANILLA TAG                                  ","            ",T,1,1,0.655,0.00,0.655,"LB        ","LB        ",0,0,0,"ROLL  ","ETAG  ","ELEC      ","MAN ","18        ","100       ",-1," ","40200-3-30          ","                    ",T,"21308       ",350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# MANILLA TAG 18                               ","            ",T,1,1,0.655,0.00,0.655,"LB        ","LB        ",0,0,0,"ROLL  ","ETAG  ","ELEC      ","MAN ","18        ","100       ",-1," ","40200-3-30          ","                    ",T,"21308       ",685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# SAFETY TAG WHT 11                            ","            ",T,1,1,1.06,0.00,1.005,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","11        ","100       ",-1," ","40200-2-30          ","40200-1-30          ",T,"688         ",440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# SPRINGHILL TAG WHITE 17.5” 50/3 - MTO ROLLS  ","            ",T,1,1,0.78,0.00,0.78,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","17 1/2    ","100       ",-1," ","40200-2-30          ","40200-1-30          ",F,"4501917     ",1116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# TAG WHT 10 TEST                              ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","10        ","100       ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",348,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"100# TAG WHT 17 1/2                               ","4F4L06162E  ",T,1,1,0.62,0.00,0.555,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","17 1/2    ","100       ",-1," ","40200-2-30          ","40200-1-30          ",F,"223096      ",607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"100# WHT DEL MAR PLUS WEB SATIN 17 1/2            ","11095808    ",T,0,1,0.575,0.00,0.575,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","ELEC      ","WHT ","17 1/2    ","100       ",0," ","40200-3-30          ","40200-1-30          ",T,"            ",947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
